row_id,label,split
CR0001,rice,test
CR0002,rice,validation
CR0003,rice,train
CR0004,rice,train
CR0005,rice,test
CR0006,rice,validation
CR0007,rice,train
CR0008,rice,test
CR0009,rice,train
CR0010,rice,train
CR0011,rice,train
CR0012,rice,train
CR0013,rice,train
CR0014,rice,test
CR0015,rice,train
CR0016,rice,train
CR0017,rice,test
CR0018,rice,train
CR0019,rice,validation
CR0020,rice,train
CR0021,rice,train
CR0022,rice,train
CR0023,rice,validation
CR0024,rice,train
CR0025,rice,train
CR0026,rice,validation
CR0027,rice,train
CR0028,rice,test
CR0029,rice,test
CR0030,rice,test
CR0031,rice,validation
CR0032,rice,train
CR0033,rice,test
CR0034,rice,validation
CR0035,rice,train
CR0036,rice,train
CR0037,rice,train
CR0038,rice,validation
CR0039,rice,train
CR0040,rice,train
CR0041,rice,train
CR0042,rice,train
CR0043,rice,validation
CR0044,rice,train
CR0045,rice,validation
CR0046,rice,test
CR0047,rice,validation
CR0048,rice,test
CR0049,rice,train
CR0050,rice,test
CR0051,rice,train
CR0052,rice,validation
CR0053,rice,test
CR0054,rice,train
CR0055,rice,validation
CR0056,rice,train
CR0057,rice,train
CR0058,rice,train
CR0059,rice,train
CR0060,rice,train
CR0061,rice,train
CR0062,rice,test
CR0063,rice,train
CR0064,rice,train
CR0065,rice,test
CR0066,rice,train
CR0067,rice,train
CR0068,rice,test
CR0069,rice,train
CR0070,rice,train
CR0071,rice,train
CR0072,rice,test
CR0073,rice,train
CR0074,rice,validation
CR0075,rice,train
CR0076,rice,train
CR0077,rice,train
CR0078,rice,train
CR0079,rice,train
CR0080,rice,test
CR0081,rice,train
CR0082,rice,train
CR0083,rice,train
CR0084,rice,validation
CR0085,rice,validation
CR0086,rice,test
CR0087,rice,validation
CR0088,rice,train
CR0089,rice,train
CR0090,rice,validation
CR0091,rice,validation
CR0092,rice,train
CR0093,rice,validation
CR0094,rice,test
CR0095,rice,train
CR0096,rice,train
CR0097,rice,train
CR0098,rice,train
CR0099,rice,train
CR0100,rice,train
CR0101,maize,test
CR0102,maize,train
CR0103,maize,train
CR0104,maize,train
CR0105,maize,test
CR0106,maize,train
CR0107,maize,train
CR0108,maize,train
CR0109,maize,validation
CR0110,maize,train
CR0111,maize,test
CR0112,maize,train
CR0113,maize,train
CR0114,maize,train
CR0115,maize,test
CR0116,maize,train
CR0117,maize,train
CR0118,maize,train
CR0119,maize,train
CR0120,maize,train
CR0121,maize,test
CR0122,maize,train
CR0123,maize,test
CR0124,maize,train
CR0125,maize,test
CR0126,maize,test
CR0127,maize,train
CR0128,maize,train
CR0129,maize,test
CR0130,maize,train
CR0131,maize,test
CR0132,maize,train
CR0133,maize,train
CR0134,maize,train
CR0135,maize,test
CR0136,maize,validation
CR0137,maize,validation
CR0138,maize,train
CR0139,maize,train
CR0140,maize,test
CR0141,maize,test
CR0142,maize,train
CR0143,maize,train
CR0144,maize,train
CR0145,maize,train
CR0146,maize,validation
CR0147,maize,validation
CR0148,maize,train
CR0149,maize,train
CR0150,maize,train
CR0151,maize,test
CR0152,maize,validation
CR0153,maize,test
CR0154,maize,validation
CR0155,maize,validation
CR0156,maize,train
CR0157,maize,validation
CR0158,maize,train
CR0159,maize,train
CR0160,maize,train
CR0161,maize,train
CR0162,maize,train
CR0163,maize,validation
CR0164,maize,train
CR0165,maize,train
CR0166,maize,train
CR0167,maize,train
CR0168,maize,validation
CR0169,maize,train
CR0170,maize,train
CR0171,maize,train
CR0172,maize,validation
CR0173,maize,train
CR0174,maize,train
CR0175,maize,train
CR0176,maize,train
CR0177,maize,validation
CR0178,maize,validation
CR0179,maize,validation
CR0180,maize,validation
CR0181,maize,train
CR0182,maize,test
CR0183,maize,train
CR0184,maize,validation
CR0185,maize,train
CR0186,maize,test
CR0187,maize,train
CR0188,maize,validation
CR0189,maize,validation
CR0190,maize,train
CR0191,maize,train
CR0192,maize,test
CR0193,maize,test
CR0194,maize,train
CR0195,maize,train
CR0196,maize,train
CR0197,maize,train
CR0198,maize,train
CR0199,maize,test
CR0200,maize,validation
CR0201,chickpea,train
CR0202,chickpea,train
CR0203,chickpea,test
CR0204,chickpea,test
CR0205,chickpea,train
CR0206,chickpea,validation
CR0207,chickpea,train
CR0208,chickpea,validation
CR0209,chickpea,train
CR0210,chickpea,train
CR0211,chickpea,train
CR0212,chickpea,train
CR0213,chickpea,train
CR0214,chickpea,train
CR0215,chickpea,train
CR0216,chickpea,train
CR0217,chickpea,test
CR0218,chickpea,validation
CR0219,chickpea,test
CR0220,chickpea,train
CR0221,chickpea,validation
CR0222,chickpea,test
CR0223,chickpea,train
CR0224,chickpea,test
CR0225,chickpea,test
CR0226,chickpea,train
CR0227,chickpea,test
CR0228,chickpea,validation
CR0229,chickpea,train
CR0230,chickpea,validation
CR0231,chickpea,train
CR0232,chickpea,validation
CR0233,chickpea,test
CR0234,chickpea,train
CR0235,chickpea,test
CR0236,chickpea,train
CR0237,chickpea,validation
CR0238,chickpea,test
CR0239,chickpea,train
CR0240,chickpea,train
CR0241,chickpea,train
CR0242,chickpea,train
CR0243,chickpea,train
CR0244,chickpea,test
CR0245,chickpea,train
CR0246,chickpea,validation
CR0247,chickpea,train
CR0248,chickpea,test
CR0249,chickpea,validation
CR0250,chickpea,train
CR0251,chickpea,test
CR0252,chickpea,train
CR0253,chickpea,validation
CR0254,chickpea,validation
CR0255,chickpea,train
CR0256,chickpea,train
CR0257,chickpea,train
CR0258,chickpea,train
CR0259,chickpea,test
CR0260,chickpea,test
CR0261,chickpea,test
CR0262,chickpea,train
CR0263,chickpea,validation
CR0264,chickpea,test
CR0265,chickpea,train
CR0266,chickpea,train
CR0267,chickpea,train
CR0268,chickpea,train
CR0269,chickpea,validation
CR0270,chickpea,train
CR0271,chickpea,train
CR0272,chickpea,train
CR0273,chickpea,train
CR0274,chickpea,validation
CR0275,chickpea,train
CR0276,chickpea,validation
CR0277,chickpea,train
CR0278,chickpea,train
CR0279,chickpea,validation
CR0280,chickpea,train
CR0281,chickpea,train
CR0282,chickpea,train
CR0283,chickpea,train
CR0284,chickpea,train
CR0285,chickpea,train
CR0286,chickpea,validation
CR0287,chickpea,train
CR0288,chickpea,validation
CR0289,chickpea,train
CR0290,chickpea,train
CR0291,chickpea,validation
CR0292,chickpea,train
CR0293,chickpea,train
CR0294,chickpea,train
CR0295,chickpea,train
CR0296,chickpea,test
CR0297,chickpea,train
CR0298,chickpea,test
CR0299,chickpea,train
CR0300,chickpea,train
CR0301,kidneybeans,train
CR0302,kidneybeans,train
CR0303,kidneybeans,validation
CR0304,kidneybeans,test
CR0305,kidneybeans,test
CR0306,kidneybeans,test
CR0307,kidneybeans,train
CR0308,kidneybeans,validation
CR0309,kidneybeans,validation
CR0310,kidneybeans,train
CR0311,kidneybeans,train
CR0312,kidneybeans,train
CR0313,kidneybeans,train
CR0314,kidneybeans,train
CR0315,kidneybeans,train
CR0316,kidneybeans,train
CR0317,kidneybeans,train
CR0318,kidneybeans,train
CR0319,kidneybeans,train
CR0320,kidneybeans,train
CR0321,kidneybeans,test
CR0322,kidneybeans,test
CR0323,kidneybeans,train
CR0324,kidneybeans,test
CR0325,kidneybeans,train
CR0326,kidneybeans,validation
CR0327,kidneybeans,train
CR0328,kidneybeans,train
CR0329,kidneybeans,train
CR0330,kidneybeans,train
CR0331,kidneybeans,validation
CR0332,kidneybeans,train
CR0333,kidneybeans,test
CR0334,kidneybeans,train
CR0335,kidneybeans,train
CR0336,kidneybeans,test
CR0337,kidneybeans,train
CR0338,kidneybeans,train
CR0339,kidneybeans,train
CR0340,kidneybeans,test
CR0341,kidneybeans,train
CR0342,kidneybeans,train
CR0343,kidneybeans,train
CR0344,kidneybeans,validation
CR0345,kidneybeans,validation
CR0346,kidneybeans,train
CR0347,kidneybeans,train
CR0348,kidneybeans,train
CR0349,kidneybeans,train
CR0350,kidneybeans,train
CR0351,kidneybeans,validation
CR0352,kidneybeans,test
CR0353,kidneybeans,test
CR0354,kidneybeans,train
CR0355,kidneybeans,test
CR0356,kidneybeans,test
CR0357,kidneybeans,validation
CR0358,kidneybeans,train
CR0359,kidneybeans,validation
CR0360,kidneybeans,train
CR0361,kidneybeans,train
CR0362,kidneybeans,validation
CR0363,kidneybeans,train
CR0364,kidneybeans,test
CR0365,kidneybeans,train
CR0366,kidneybeans,test
CR0367,kidneybeans,train
CR0368,kidneybeans,train
CR0369,kidneybeans,train
CR0370,kidneybeans,validation
CR0371,kidneybeans,train
CR0372,kidneybeans,train
CR0373,kidneybeans,validation
CR0374,kidneybeans,test
CR0375,kidneybeans,validation
CR0376,kidneybeans,train
CR0377,kidneybeans,train
CR0378,kidneybeans,train
CR0379,kidneybeans,train
CR0380,kidneybeans,train
CR0381,kidneybeans,train
CR0382,kidneybeans,validation
CR0383,kidneybeans,test
CR0384,kidneybeans,validation
CR0385,kidneybeans,train
CR0386,kidneybeans,validation
CR0387,kidneybeans,validation
CR0388,kidneybeans,test
CR0389,kidneybeans,train
CR0390,kidneybeans,train
CR0391,kidneybeans,train
CR0392,kidneybeans,train
CR0393,kidneybeans,validation
CR0394,kidneybeans,train
CR0395,kidneybeans,train
CR0396,kidneybeans,validation
CR0397,kidneybeans,train
CR0398,kidneybeans,test
CR0399,kidneybeans,train
CR0400,kidneybeans,test
CR0401,pigeonpeas,train
CR0402,pigeonpeas,train
CR0403,pigeonpeas,test
CR0404,pigeonpeas,validation
CR0405,pigeonpeas,train
CR0406,pigeonpeas,test
CR0407,pigeonpeas,validation
CR0408,pigeonpeas,test
CR0409,pigeonpeas,validation
CR0410,pigeonpeas,train
CR0411,pigeonpeas,train
CR0412,pigeonpeas,validation
CR0413,pigeonpeas,test
CR0414,pigeonpeas,validation
CR0415,pigeonpeas,validation
CR0416,pigeonpeas,train
CR0417,pigeonpeas,train
CR0418,pigeonpeas,train
CR0419,pigeonpeas,validation
CR0420,pigeonpeas,train
CR0421,pigeonpeas,train
CR0422,pigeonpeas,validation
CR0423,pigeonpeas,train
CR0424,pigeonpeas,train
CR0425,pigeonpeas,test
CR0426,pigeonpeas,test
CR0427,pigeonpeas,train
CR0428,pigeonpeas,train
CR0429,pigeonpeas,train
CR0430,pigeonpeas,train
CR0431,pigeonpeas,train
CR0432,pigeonpeas,test
CR0433,pigeonpeas,train
CR0434,pigeonpeas,train
CR0435,pigeonpeas,train
CR0436,pigeonpeas,test
CR0437,pigeonpeas,train
CR0438,pigeonpeas,train
CR0439,pigeonpeas,train
CR0440,pigeonpeas,train
CR0441,pigeonpeas,test
CR0442,pigeonpeas,train
CR0443,pigeonpeas,train
CR0444,pigeonpeas,validation
CR0445,pigeonpeas,validation
CR0446,pigeonpeas,test
CR0447,pigeonpeas,train
CR0448,pigeonpeas,train
CR0449,pigeonpeas,test
CR0450,pigeonpeas,validation
CR0451,pigeonpeas,train
CR0452,pigeonpeas,train
CR0453,pigeonpeas,train
CR0454,pigeonpeas,train
CR0455,pigeonpeas,test
CR0456,pigeonpeas,train
CR0457,pigeonpeas,train
CR0458,pigeonpeas,validation
CR0459,pigeonpeas,train
CR0460,pigeonpeas,validation
CR0461,pigeonpeas,validation
CR0462,pigeonpeas,validation
CR0463,pigeonpeas,train
CR0464,pigeonpeas,train
CR0465,pigeonpeas,train
CR0466,pigeonpeas,test
CR0467,pigeonpeas,validation
CR0468,pigeonpeas,train
CR0469,pigeonpeas,train
CR0470,pigeonpeas,test
CR0471,pigeonpeas,train
CR0472,pigeonpeas,validation
CR0473,pigeonpeas,test
CR0474,pigeonpeas,train
CR0475,pigeonpeas,test
CR0476,pigeonpeas,test
CR0477,pigeonpeas,train
CR0478,pigeonpeas,train
CR0479,pigeonpeas,train
CR0480,pigeonpeas,train
CR0481,pigeonpeas,train
CR0482,pigeonpeas,train
CR0483,pigeonpeas,test
CR0484,pigeonpeas,train
CR0485,pigeonpeas,train
CR0486,pigeonpeas,train
CR0487,pigeonpeas,train
CR0488,pigeonpeas,validation
CR0489,pigeonpeas,train
CR0490,pigeonpeas,train
CR0491,pigeonpeas,test
CR0492,pigeonpeas,train
CR0493,pigeonpeas,validation
CR0494,pigeonpeas,train
CR0495,pigeonpeas,train
CR0496,pigeonpeas,test
CR0497,pigeonpeas,train
CR0498,pigeonpeas,validation
CR0499,pigeonpeas,train
CR0500,pigeonpeas,train
CR0501,mothbeans,train
CR0502,mothbeans,validation
CR0503,mothbeans,train
CR0504,mothbeans,train
CR0505,mothbeans,train
CR0506,mothbeans,validation
CR0507,mothbeans,train
CR0508,mothbeans,train
CR0509,mothbeans,train
CR0510,mothbeans,validation
CR0511,mothbeans,test
CR0512,mothbeans,test
CR0513,mothbeans,train
CR0514,mothbeans,train
CR0515,mothbeans,train
CR0516,mothbeans,train
CR0517,mothbeans,test
CR0518,mothbeans,train
CR0519,mothbeans,train
CR0520,mothbeans,train
CR0521,mothbeans,validation
CR0522,mothbeans,train
CR0523,mothbeans,train
CR0524,mothbeans,train
CR0525,mothbeans,test
CR0526,mothbeans,test
CR0527,mothbeans,validation
CR0528,mothbeans,train
CR0529,mothbeans,validation
CR0530,mothbeans,train
CR0531,mothbeans,test
CR0532,mothbeans,train
CR0533,mothbeans,train
CR0534,mothbeans,train
CR0535,mothbeans,test
CR0536,mothbeans,test
CR0537,mothbeans,test
CR0538,mothbeans,train
CR0539,mothbeans,test
CR0540,mothbeans,test
CR0541,mothbeans,train
CR0542,mothbeans,train
CR0543,mothbeans,train
CR0544,mothbeans,train
CR0545,mothbeans,validation
CR0546,mothbeans,validation
CR0547,mothbeans,train
CR0548,mothbeans,train
CR0549,mothbeans,train
CR0550,mothbeans,train
CR0551,mothbeans,test
CR0552,mothbeans,train
CR0553,mothbeans,validation
CR0554,mothbeans,test
CR0555,mothbeans,train
CR0556,mothbeans,train
CR0557,mothbeans,validation
CR0558,mothbeans,train
CR0559,mothbeans,test
CR0560,mothbeans,train
CR0561,mothbeans,train
CR0562,mothbeans,validation
CR0563,mothbeans,train
CR0564,mothbeans,validation
CR0565,mothbeans,test
CR0566,mothbeans,train
CR0567,mothbeans,train
CR0568,mothbeans,test
CR0569,mothbeans,validation
CR0570,mothbeans,train
CR0571,mothbeans,test
CR0572,mothbeans,train
CR0573,mothbeans,validation
CR0574,mothbeans,train
CR0575,mothbeans,train
CR0576,mothbeans,test
CR0577,mothbeans,test
CR0578,mothbeans,train
CR0579,mothbeans,train
CR0580,mothbeans,train
CR0581,mothbeans,train
CR0582,mothbeans,validation
CR0583,mothbeans,train
CR0584,mothbeans,train
CR0585,mothbeans,test
CR0586,mothbeans,validation
CR0587,mothbeans,validation
CR0588,mothbeans,train
CR0589,mothbeans,validation
CR0590,mothbeans,train
CR0591,mothbeans,train
CR0592,mothbeans,train
CR0593,mothbeans,train
CR0594,mothbeans,train
CR0595,mothbeans,train
CR0596,mothbeans,validation
CR0597,mothbeans,train
CR0598,mothbeans,train
CR0599,mothbeans,train
CR0600,mothbeans,validation
CR0601,mungbean,train
CR0602,mungbean,train
CR0603,mungbean,test
CR0604,mungbean,train
CR0605,mungbean,train
CR0606,mungbean,train
CR0607,mungbean,validation
CR0608,mungbean,train
CR0609,mungbean,validation
CR0610,mungbean,test
CR0611,mungbean,train
CR0612,mungbean,train
CR0613,mungbean,train
CR0614,mungbean,validation
CR0615,mungbean,test
CR0616,mungbean,validation
CR0617,mungbean,validation
CR0618,mungbean,validation
CR0619,mungbean,train
CR0620,mungbean,train
CR0621,mungbean,train
CR0622,mungbean,train
CR0623,mungbean,validation
CR0624,mungbean,validation
CR0625,mungbean,train
CR0626,mungbean,validation
CR0627,mungbean,train
CR0628,mungbean,train
CR0629,mungbean,train
CR0630,mungbean,train
CR0631,mungbean,validation
CR0632,mungbean,test
CR0633,mungbean,train
CR0634,mungbean,train
CR0635,mungbean,train
CR0636,mungbean,train
CR0637,mungbean,validation
CR0638,mungbean,train
CR0639,mungbean,validation
CR0640,mungbean,test
CR0641,mungbean,train
CR0642,mungbean,train
CR0643,mungbean,validation
CR0644,mungbean,test
CR0645,mungbean,test
CR0646,mungbean,train
CR0647,mungbean,test
CR0648,mungbean,validation
CR0649,mungbean,train
CR0650,mungbean,train
CR0651,mungbean,train
CR0652,mungbean,train
CR0653,mungbean,train
CR0654,mungbean,train
CR0655,mungbean,test
CR0656,mungbean,train
CR0657,mungbean,train
CR0658,mungbean,train
CR0659,mungbean,validation
CR0660,mungbean,validation
CR0661,mungbean,train
CR0662,mungbean,train
CR0663,mungbean,train
CR0664,mungbean,train
CR0665,mungbean,train
CR0666,mungbean,train
CR0667,mungbean,train
CR0668,mungbean,train
CR0669,mungbean,train
CR0670,mungbean,train
CR0671,mungbean,test
CR0672,mungbean,test
CR0673,mungbean,train
