origin,model,training_max_year,n,MAE,RMSE,R2
2018,median,2017,40,0.631025,0.808515,-0.018039
2018,ridge_trend,2017,40,0.133659,0.165186,0.957506
2018,tree,2017,40,0.166374,0.208706,0.932165
2018,forest,2017,40,0.153449,0.191304,0.943005
2019,median,2018,40,0.6276,0.817195,-0.048496
2019,ridge_trend,2018,40,0.159861,0.195604,0.939928
2019,tree,2018,40,0.192769,0.238765,0.910493
2019,forest,2018,40,0.178104,0.223641,0.921473
2020,median,2019,40,0.6395,0.824692,-0.055217
2020,ridge_trend,2019,40,0.124075,0.158094,0.961222
2020,tree,2019,40,0.156508,0.204287,0.93525
2020,forest,2019,40,0.137128,0.174297,0.952866
