row_id,state,district,season,year,split
R00001,Tamil Nadu,Thanjavur,Kharif,2008,train
R00002,Tamil Nadu,Thanjavur,Kharif,2009,train
R00003,Tamil Nadu,Thanjavur,Kharif,2010,train
R00004,Tamil Nadu,Thanjavur,Kharif,2011,train
R00005,Tamil Nadu,Thanjavur,Kharif,2012,train
R00006,Tamil Nadu,Thanjavur,Kharif,2013,train
R00007,Tamil Nadu,Thanjavur,Kharif,2014,train
R00008,Tamil Nadu,Thanjavur,Kharif,2015,train
R00009,Tamil Nadu,Thanjavur,Kharif,2016,train
R00010,Tamil Nadu,Thanjavur,Kharif,2017,train
R00011,Tamil Nadu,Thanjavur,Kharif,2018,train
R00012,Tamil Nadu,Thanjavur,Kharif,2019,validation
R00013,Tamil Nadu,Thanjavur,Kharif,2020,validation
R00014,Tamil Nadu,Thanjavur,Kharif,2021,test
R00015,Tamil Nadu,Thanjavur,Kharif,2022,test
R00016,Tamil Nadu,Thanjavur,Rabi,2008,train
R00017,Tamil Nadu,Thanjavur,Rabi,2009,train
R00018,Tamil Nadu,Thanjavur,Rabi,2010,train
R00019,Tamil Nadu,Thanjavur,Rabi,2011,train
R00020,Tamil Nadu,Thanjavur,Rabi,2012,train
R00021,Tamil Nadu,Thanjavur,Rabi,2013,train
R00022,Tamil Nadu,Thanjavur,Rabi,2014,train
R00023,Tamil Nadu,Thanjavur,Rabi,2015,train
R00024,Tamil Nadu,Thanjavur,Rabi,2016,train
R00025,Tamil Nadu,Thanjavur,Rabi,2017,train
R00026,Tamil Nadu,Thanjavur,Rabi,2018,train
R00027,Tamil Nadu,Thanjavur,Rabi,2019,validation
R00028,Tamil Nadu,Thanjavur,Rabi,2020,validation
R00029,Tamil Nadu,Thanjavur,Rabi,2021,test
R00030,Tamil Nadu,Thanjavur,Rabi,2022,test
R00031,Tamil Nadu,Tiruvarur,Kharif,2008,train
R00032,Tamil Nadu,Tiruvarur,Kharif,2009,train
